doi,parent_name,raw_affiliation_string,fak_name,dept_name,validation,comment
10.1002/eat.23327,Leuphana Universität Lüneburg,"Institute of Information Systems, Leuphana University  Lüneburg Germany",Fakultät Management und Technologie,Institut für Wirtschaftsinformatik (IIS),True,
10.1002/bse.3263,Leuphana Universität Lüneburg,Centre for Sustainability Management (CSM) Leuphana University Lüneburg Germany,Fakultät Nachhaltigkeit,Centre for Sustainability Management (CSM),True,
10.17818/emip/2022/1.4,Leuphana Universität Lüneburg,"State University, Leuphana University of Lüneburg, Lüneburg, Germany",,,True,no faculty named
10.4000/ejas.16632,Leuphana Universität Lüneburg,Leuphana University Lüneburg,,,True,no faculty named
10.1093/eurpub/ckae144.815,Leuphana Universität Lüneburg,"Social-Ecological Systems Institute, Leuphana University, Lüneburg ,",Fakultät Nachhaltigkeit,Social-Ecological Systems Institute (SESI),True,
10.3390/su131810319,Leuphana Universität Lüneburg,"Faculty of Business and Economics, Institute of Management and Organization, Leuphana University of Lueneburg, 21335 Luneburg, Germany",Fakultät Management und Technologie,Institut für Management und Organisation (IMO),True,
10.1016/j.chemosphere.2021.130442,Leuphana Universität Lüneburg,"Institute of Sustainable and Environmental Chemistry Leuphana University of Lüneburg Universitätsallee 1, 21335, Lüneburg, Germany. Electronic address: klaus.kuemmerer@leuphana.de",Fakultät Nachhaltigkeit,Institut für Nachhaltige Chemie und Umweltchemie (INUC),True,
10.5465/amproc.2024.13016symposium,Leuphana Universität Lüneburg,Leuphana U. Lüneburg,,,True,no faculty named
10.22495/cocv19i3art13,Leuphana Universität Lüneburg,Leuphana University,,,True,no faculty named
10.1080/10255842.2024.2338121,Leuphana Universität Lüneburg,"Leuphana University Lüneburg, Institute of Product and Process Innovation, Lüneburg, Germany",Fakultät Management und Technologie,Institut für Management und Organisation (IMO),?,
10.1080/07853890.2022.2101688,Leuphana Universität Lüneburg,"Center for Applied Health Science, Leuphana University Lueneburg",Zentrum für Angewandte Gesundheitswissenschaften (ZAG),,True,
10.1016/j.rser.2022.112678,Leuphana Universität Lüneburg,"Institute of Sustainable and Environmental Chemistry, Leuphana Universität Lueneburg, Universitätsallee 1, 21335, Lüneburg, Germany",Fakultät Nachhaltigkeit,Institut für Nachhaltige Chemie und Umweltchemie (INUC),True,
10.5771/2193-7869-2020-2-113,Leuphana Universität Lüneburg,"(Univer-sität Lüneburg),",,,True,no faculty named
10.1080/17408989.2023.2256758,Leuphana Universität Lüneburg,"Future Centre of Teacher Education, Leuphana University Lüneburg, Lüneburg, Germany",Fakultät Bildung,,False,wrong faculty
10.1038/s42003-023-04736-y,Leuphana Universität Lüneburg,"Leuphana University, Social-Ecological Systems Institute, Faculty of Sustainability, Universitätsallee 1, 21335, Lüneburg, Germany. marina.frietsch@leuphana.de",Fakultät Nachhaltigkeit,Social-Ecological Systems Institute (SESI),True,
10.33407/itlt.v98i6.5454,Leuphana Universität Lüneburg,Leuphana University of Lüneburg,,,True,no faculty named
10.1007/s00421-023-05185-5,Leuphana Universität Lüneburg,"Institute for Exercise, Sport and Health, Leuphana University, Lüneburg, Germany",Fakultät Bildung,"Institut für Bewegung, Sport und Gesundheit (IBSG)",True,
10.1504/ijpee.2022.124576,Leuphana Universität Lüneburg,"Leuphana University Lüneburg, Institut für Volkswirtschaftslehre, Universitaetsallee 1, 21335 Lüneburg, Germany",Fakultät Staatswissenschaften,Institut für Volkswirtschaftslehre (IVWL),True,
10.1146/annurev-orgpsych-120920-055646,Leuphana Universität Lüneburg,"Institute of Management & Organization, Leuphana University Lüneburg, Lüneburg, Germany;",Fakultät Management und Technologie,Institut für Management und Organisation (IMO),True,
10.3390/e24040552,Leuphana Universität Lüneburg,"Institute of Psychology, Leuphana University of Lüneburg, Universitätsallee 1, 21335 Lüneburg, Germany",Fakultät Bildung,Institut für Psychologie (IFP),True,
10.37394/232015.2020.16.25,Leuphana Universität Lüneburg,"Leuphana University of Luneburg, Institute of Product and Process Innovation, Luneburg, GERMANY",Fakultät Management und Technologie,Institut für Management und Organisation (IMO),?,
10.1016/j.promfg.2020.04.319,Leuphana Universität Lüneburg,"Institute of Product and Process Innovation, Leuphana University of Lüneburg, Lüneburg, Germany",Fakultät Management und Technologie,Institut für Management und Organisation (IMO),?,
10.1177/0001839220948483,Leuphana Universität Lüneburg,Leuphana University of Lüneburg,,,True,no faculty named
10.1016/j.cognition.2024.105831,Leuphana Universität Lüneburg,"Institute for Management and Organization, Leuphana University, Luneburg, Germany",Fakultät Management und Technologie,Institut für Management und Organisation (IMO),True,
10.1016/j.chb.2020.106624,Leuphana Universität Lüneburg,"Leuphana University of Lüneburg, Universitätsallee 1, 21335, Lüneburg, Germany",,,True,no faculty named
10.1111/psyp.14022,Leuphana Universität Lüneburg,Institute of Psychology Leuphana University of Lueneburg  Lueneburg Germany,Fakultät Bildung,Institut für Psychologie (IFP),True,
10.1016/j.spc.2021.10.004,Leuphana Universität Lüneburg,"Centre for Sustainability Management (CSM), Leuphana University Lüneburg, Universitätsallee 1, D-21335 Lüneburg, Germany",Fakultät Nachhaltigkeit,Centre for Sustainability Management (CSM),True,
10.1515/fjsb-2020-0042,Leuphana Universität Lüneburg,Leuphana Universität Lüneburg Zentrum für Demokratieforschung Lüneburg Deutschland,Zentrum für Demokratieforschung (ZDEMO),,True,
10.1163/15685365-bja10048,Leuphana Universität Lüneburg,Leuphana University Lüneburg https://dx.doi.org/446782 Lüneburg Germany,,,True,no faculty named
10.1016/j.drugalcdep.2021.108806,Leuphana Universität Lüneburg,"Division of Online Health Training, Leuphana University Lueneburg, Germany",Zentrum für Angewandte Gesundheitswissenschaften (ZAG),,?,
10.1016/j.jenvman.2023.118179,Leuphana Universität Lüneburg,"Faculty of Sustainability, Institute of Sustainability Governance (INSUGO), Research Group Governance, Participation and Sustainability, Leuphana University Lüneburg, Universitätsallee 1, 21335, Lüneburg, Germany. Electronic address: jens.newig@leuphana.de",Fakultät Nachhaltigkeit,Institut für Nachhaltigkeitssteuerung (INSUGO),True,
10.1080/26395916.2020.1844296,Leuphana Universität Lüneburg,"Faculty of Sustainability, Leuphana University, Leuphana, Germany",Fakultät Nachhaltigkeit,,True,
10.1016/j.scitotenv.2023.162007,Leuphana Universität Lüneburg,"Institute of Ecology, Leuphana University Lüneburg, Universitätsallee 1, 21335 Lüneburg, Germany",Fakultät Nachhaltigkeit,Institut für Ökologie (IE),True,
10.1108/ijshe-08-2019-0242,Leuphana Universität Lüneburg,"Department of Sustainability, Leuphana Universität Lüneburg, Lüneburg, Germany and Center for Global Sustainability and Cultural Transformation, Leuphana Universität of Lüneburg, Lüneburg, Germany",Fakultät Nachhaltigkeit,Center for Global Sustainability and Cultural Transformation,True,
10.1007/s10841-022-00391-6,Leuphana Universität Lüneburg,"Institute of Ecology, Faculty of Sustainability & Centre of Methods, Leuphana University, Universitätsallee 1, 21335, Lüneburg, Germany",Fakultät Nachhaltigkeit,Institut für Ökologie (IE),True,
10.2196/22107,Leuphana Universität Lüneburg,"Department of Health Psychology and Applied Biological Psychology, Leuphana University of Lueneburg, Lueneburg, Germany",Fakultät Bildung,Institut für Psychologie (IFP),?,
10.1093/jrs/feac043,Leuphana Universität Lüneburg,"Leuphana University of Lüneburg , 21335 Lüneburg, Germany onno.husen@leuphana.de",,,True,no faculty named
10.1093/eurpub/ckad160.685,Leuphana Universität Lüneburg,"Centre for Applied Science, Leuphana University of Lüneburg , Lueneburg, Germany",,,?,
10.1007/s10357-020-3748-4,Leuphana Universität Lüneburg,"Institut für Nachhaltigkeitssteuerung, Leuphana Universität, Lüneburg, Deutschland",Fakultät Nachhaltigkeit,Institut für Nachhaltigkeitssteuerung (INSUGO),True,
10.1016/j.cell.2022.06.041,Leuphana Universität Lüneburg,"Institute of Sustainable Chemistry, Leuphana University Lüneburg, Lüneburg, Germany; Research and Education Hub, International Sustainable Chemistry Collaborative Centre ISC3, Bonn, Germany. Electronic address: klaus.kuemmerer@uni.leuphana.de",Fakultät Bildung,,False,wrong faculty
10.3390/vaccines9090985,Leuphana Universität Lüneburg,"Center for Applied Health Science, Leuphana University Lueneburg, 21335 Lueneburg, Germany",Zentrum für Angewandte Gesundheitswissenschaften (ZAG),,True,
10.5465/ambpp.2022.17286abstract,Leuphana Universität Lüneburg,Leuphana U. Lüneburg,,,True,no faculty named
10.1111/1467-8551.12778,Leuphana Universität Lüneburg,"School of Management and Technology Leuphana University Lüneburg, Universitätsallee 1 21335 Lüneburg Germany",Fakultät Management und Technologie,,True,
10.2196/48258,Leuphana Universität Lüneburg,"Centre for Applied Health Science, Leuphana University Lueneburg, Lueneburg, Germany",Zentrum für Angewandte Gesundheitswissenschaften (ZAG),,True,
10.3897/zookeys.1044.68650,Leuphana Universität Lüneburg,"Institute of Ecology, Leuphana University Lüneburg, Universitätsstraße 1, 21335, Lüneburg, Germany",Fakultät Nachhaltigkeit,Institut für Ökologie (IE),True,
10.46230/2674-8266-15-12664,Leuphana Universität Lüneburg,Leuphana University Lüneburg,,,True,no faculty named
10.1186/s40798-024-00755-z,Leuphana Universität Lüneburg,"Institute of Exercise, Sport and Health, Leuphana University, Lüneburg, Germany",Fakultät Bildung,"Institut für Bewegung, Sport und Gesundheit (IBSG)",True,
10.1002/bse.3210,Leuphana Universität Lüneburg,Center for Global Sustainability and Cultural Transformation Leuphana University of Lüneburg  Lüneburg Germany,Fakultät Nachhaltigkeit,Center for Global Sustainability and Cultural Transformation,True,
10.1177/00220221211035495,Leuphana Universität Lüneburg,"Leuphana University, Luneburg, Germany",,,True,no faculty named
10.1108/ijebr-03-2019-0185,Leuphana Universität Lüneburg,"Institute of Economics, Leuphana University of Lüneburg, Luneburg, Germany",Fakultät Staatswissenschaften,Institut für Volkswirtschaftslehre (IVWL),True,
10.1016/j.scitotenv.2024.175438,Leuphana Universität Lüneburg,"Institute of Ecology, Leuphana University of Lüneburg, Lüneburg, Germany",Fakultät Nachhaltigkeit,Institut für Ökologie (IE),True,
10.1111/jvs.13280,Leuphana Universität Lüneburg,Institute of Ecology Leuphana University of Lüneburg  Lüneburg Germany,Fakultät Nachhaltigkeit,Institut für Ökologie (IE),True,
10.25162/zbw-2022-0010,Leuphana Universität Lüneburg,"Leuphana Universität Lüneburg, Institut für Psychologie, Differentielle Psychologie und Psychologische Diagnostik, Universitätsallee 1, 21335 Lüneburg",Fakultät Bildung,Institut für Psychologie (IFP),True,
10.1093/geroni/igab046.3031,Leuphana Universität Lüneburg,"Leuphana University of Lüneburg, Leuphana University of Lüneburg, Niedersachsen, Germany",,,True,no faculty named
10.1007/s13138-023-00220-6,Leuphana Universität Lüneburg,"Institut für Bildungswissenschaft, Leuphana Universität Lüneburg, Lüneburg, Germany",Fakultät Bildung,Institut für Bildungswissenschaft (IBIWI),True,
10.1007/s11558-022-09482-0,Leuphana Universität Lüneburg,"Leuphana University Lüneburg, Lüneburg, Germany",,,True,no faculty named
10.1038/s41598-024-73225-x,Leuphana Universität Lüneburg,"Institute for Sustainability Education and Psychology, Leuphana University of Lüneburg, 21335, Lüneburg, Germany",Fakultät Bildung,Institute for Sustainability Education and Psychology (ISEP),True,
10.13109/prkk.2020.69.2.109,Leuphana Universität Lüneburg,Leuphana Universität Lüneburg Institut für Psychologie Universitätsallee 1 21335 Lüneburg Deutschland,Fakultät Bildung,Institut für Psychologie (IFP),True,
10.1016/j.scaman.2022.101196,Leuphana Universität Lüneburg,"Leuphana University Lüneburg, Institute of Management, Accounting and Finance, Universitätsallee 1, 21335 Lüneburg, Germany",Fakultät Management und Technologie,Institut Auditing and Tax,True,
10.1177/10464964221148682,Leuphana Universität Lüneburg,"Leuphana University Lüneburg, Germany",,,True,no faculty named
10.2196/48481,Leuphana Universität Lüneburg,"Institute of Information Systems, Leuphana University of Lueneburg, Lueneburg, Germany",Fakultät Management und Technologie,Institut für Wirtschaftsinformatik (IIS),True,
10.3390/md20020115,Leuphana Universität Lüneburg,"Sustainable Chemistry (Resource Efciency), Institute of Sustainable and Environmental Chemistry, Leuphana University of Lüneburg, Universitätsallee 1, C13.203, 21335 Luneburg, Germany",Fakultät Nachhaltigkeit,Institut für Nachhaltige Chemie und Umweltchemie (INUC),True,
