doi,parent_name,raw_affiliation_string,fak_name,dept_name
10.1002/smr.2296,Technische Universität Clausthal,Institute for Applied Software Systems Engineering Clausthal University of Technology  Goslar Germany,Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Software and Systems Engineering
10.1016/j.jnoncrysol.2021.121145,Technische Universität Clausthal,"Institute of Non-Metallic Materials, Clausthal University of Technology, Zehntnerstr. 2a, Clausthal-Zellerfeld 38678, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Nichtmetallische Werkstoffe
10.3390/en13123039,Technische Universität Clausthal,"Department of Informatics, TU Clausthal, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Informatik
10.1016/j.scitotenv.2024.173565,Technische Universität Clausthal,"TU Clausthal/Hydrogeology, Germany",Fakultät für Energie- und Wirtschaftswissenschaften,
10.1016/j.jallcom.2020.157934,Technische Universität Clausthal,"Institute of Materials Science and Engineering, Clausthal University of Technology, D-38678, Clausthal-Zellerfeld, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Werkstoffkunde und Werkstofftechnik
10.1038/s41598-022-16184-5,Technische Universität Clausthal,"Clausthal Centre of Materials Technology - University of Technology Clausthal, Leibnizstr. 9, 38678, Clausthal-Zellerfeld, Germany",Clausthaler Zentrum für Materialtechnik (CZM),
10.1016/j.etran.2020.100102,Technische Universität Clausthal,"Institute for Electrical Energy Storage Technology, Technical University of Munich (TUM), Arcisstr. 21, 80333, Munich, Germany",Forschungszentrum Energiespeichertechnologien,
10.1016/j.addma.2023.103944,Technische Universität Clausthal,"Department of Welding Technology, Institute of Welding and Machining, Clausthal University of Technology, Clausthal-Zellerfeld, Agricolastraße 2, 39678, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Schweißtechnik und Trennende Fertigungsverfahren
10.1007/s00291-024-00756-0,Technische Universität Clausthal,"Department of Marketing, Clausthal University of Technology, Julius-Albert-Str. 2, 38678, Clausthal-Zellerfeld, Germany",Fakultät für Energie- und Wirtschaftswissenschaften,Institut für Wirtschaftswissenschaft
10.1002/cite.202100200,Technische Universität Clausthal,Clausthal University of Technology Institute of Chemical and Electrochemical Process Engineering  Leibnizstraße 17 38678 Clausthal-Zellerfeld Germany,Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Chemische und Elektrochemische Verfahrenstechnik
10.1016/j.ensm.2023.03.008,Technische Universität Clausthal,"Technical University of Munich, Germany; TUM School of Engineering and Design, Department of Energy and Process Engineering, Institute for Electrical Energy Storage Technology, Arcisstraße 21, 80333 Munich, Germany",Forschungszentrum Energiespeichertechnologien,
10.1007/s12517-022-10221-3,Technische Universität Clausthal,"Institut für Geophysik, Technische Universität Clausthal, Arnold-Sommerfeld-Str. 1, 38678, Clausthal-Zellerfeld, Germany",Fakultät für Energie- und Wirtschaftswissenschaften,Institut für Geophysik
10.1016/j.tet.2020.131627,Technische Universität Clausthal,"Clausthal University of Technology, Institute of Organic Chemistry, Leibnizstrasse 6, D-38678, Clausthal-Zellerfeld, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Organische Chemie
10.1149/1945-7111/ac8a79,Technische Universität Clausthal,"Institut für Metallurgie, AG Festkörperkinetik, Technische Universität Clausthal, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Metallurgie
10.3390/app10124152,Technische Universität Clausthal,"Institute of Subsurface Energy Systems, Clausthal University of Technology, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Energie- und Wirtschaftswissenschaften,Institute of Subsurface Energy Systems
10.3390/ma14071620,Technische Universität Clausthal,"Faculty of Natural and Materials Science, Clausthal University of Technology, Robert-Koch-Straße 42, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Werkstoffkunde und Werkstofftechnik
10.2166/wst.2022.390,Technische Universität Clausthal,"a CUTEC Research Center for Environmental Technologies, Clausthal University of Technology, 38678 Clausthal-Zellerfeld, Germany",Clausthaler Umwelttechnik Forschungszentrum (CUTEC),
10.1051/mfreview/2019029,Technische Universität Clausthal,"Clausthal University of Technology, Institute of Welding and Machining, Agricolastraße 2, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Schweißtechnik und Trennende Fertigungsverfahren
10.1002/cite.202300012,Technische Universität Clausthal,"Clausthal, University of Technology Institute of Technical Chemistry  Arnold-Sommerfeld-Straße 4 38678 Clausthal-Zellerfeld Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Technische Chemie
10.1016/j.procir.2021.01.110,Technische Universität Clausthal,"Institue for Software and Systems Engineering, Clausthal University of Technology, Arnold-Sommerfeld-Straße 1, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Software and Systems Engineering
10.1007/s10443-023-10189-7,Technische Universität Clausthal,"Institute of Polymer Materials and Plastics Engineering, Clausthal University of Technology, Ottenbecker Damm 12, Stade, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Polymerwerkstoffe und Kunststofftechnik
10.1007/s10443-023-10189-7,Technische Universität Clausthal,"Institute of Polymer Materials and Plastics Engineering, Clausthal University of Technology, Agricolastr. 6, Clausthal-Zellerfeld, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Polymerwerkstoffe und Kunststofftechnik
10.1016/j.ijfatigue.2024.108259,Technische Universität Clausthal,"Institute for Plant Engineering and Fatigue Analysis, Clausthal University of Technology, Leibnizstraße 32, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Maschinelle Anlagentechnik und Betriebsfestigkeit
10.1016/j.compchemeng.2023.108356,Technische Universität Clausthal,"Institute of Technical Chemistry, TU Clausthal, Arnold-Sommerfeld-Str. 4, Clausthal-Zellerfeld 38678, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Technische Chemie
10.1007/s13278-024-01273-2,Technische Universität Clausthal,"Institute for Mathematics, TU Clausthal, Clausthal-Zellerfeld, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Mathematik
10.1016/j.jappgeo.2021.104439,Technische Universität Clausthal,"Clausthal University of Technology, Institute of Geophysics, Arnold-Sommerfeld-Straße 1, D-38678 Clausthal-Zellerfeld, Germany",Fakultät für Energie- und Wirtschaftswissenschaften,Institut für Geophysik
10.1007/s40194-023-01614-3,Technische Universität Clausthal,"Clausthal University of Technology, Centre of Material Technology, Leibnizstraße 9, 38678, Clausthal-Zellerfeld, Germany",Clausthaler Zentrum für Materialtechnik (CZM),
10.1038/s41467-023-42450-9,Technische Universität Clausthal,"Research Center Energy Storage Technologies, Goslar, Germany. christine.minke@tu-clausthal.de",Forschungszentrum Energiespeichertechnologien,
10.1007/s11837-024-06809-7,Technische Universität Clausthal,"Institute of Disposal Research, TU Clausthal, Adolph-Roemer Str. 2A, 38678, Clausthal-Zellerfeld, Lower Saxony, Germany",Fakultät für Energie- und Wirtschaftswissenschaften,"Institut für Aufbereitung, Deponietechnik und Geomechanik (IFAD)"
10.1111/jiec.13328,Technische Universität Clausthal,"Institute of Mineral and Waste Processing, Recycling and Circular Economy Systems, Clausthal University of Technology, Clausthal-Zellerfeld, Germany",Fakultät für Energie- und Wirtschaftswissenschaften,"Institut für Aufbereitung, Recycling und Kreislaufwirtschaftssysteme"
10.1016/j.chemgeo.2023.121569,Technische Universität Clausthal,"Mineral Resources, Technical University of Clausthal, Clausthal-Zellerfeld 38678, Germany",Fakultät für Energie- und Wirtschaftswissenschaften,Institut für Endlagerforschung
10.3390/powders2030035,Technische Universität Clausthal,"Institute for Energy Research and Physical Technologies, Clausthal University of Technology, 19B Am Stollen, 38640 Goslar, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Energieforschung und Physikalische Technologien
10.1021/acs.energyfuels.1c03366,Technische Universität Clausthal,"Institute of Petroleum Engineering, Clausthal University of Technology, Agricolastraße 10, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Energie- und Wirtschaftswissenschaften,Institut für Erdöl- und Erdgastechnik
10.1115/1.4066893,Technische Universität Clausthal,"Institute of Tribology and Energy Conversion Machinery, Clausthal University of Technology , Leibnizstraße 32, Clausthal-Zellerfeld 38678, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Tribologie und Energiewandlungsmaschinen
10.1016/j.jmrt.2021.04.088,Technische Universität Clausthal,"Institute of Metallurgy, Clausthal University of Technology, Robert-Koch-Str. 42, Clausthal-Zellerfeld, 38678, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Metallurgie
10.3390/lubricants9100098,Technische Universität Clausthal,"Institute of Tribology and Energy Conversion Machinery, Clausthal University of Technology, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Tribologie und Energiewandlungsmaschinen
10.34133/adi.0074,Technische Universität Clausthal,"Technische Universität Clausthal, Metrology, Leibnizstraße 28, Clausthal-Zellerfeld, 38678, GERMANY",,
10.1016/j.oceram.2024.100655,Technische Universität Clausthal,"Institute of Non-Metallic Materials, Clausthal University of Technology, Clausthal-Zellerfeld, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Nichtmetallische Werkstoffe
10.3390/batteries10030092,Technische Universität Clausthal,"Institute of Chemical and Electrochemical Process Engineering, Clausthal University of Technology, Leibnizstraße 17, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Chemische und Elektrochemische Verfahrenstechnik
10.1021/acs.jpcc.1c07450,Technische Universität Clausthal,"Institute of Electrochemistry, Clausthal University of Technology, Arnold-Sommerfeld-Strasse 6, Clausthal-Zellerfeld 38678, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Elektrochemie
10.1109/tia.2021.3121219,Technische Universität Clausthal,"[Clausthal University of Technology, 26534 Clausthal-Zellerfeld, Niedersachsen, Germany, (e-mail: dirk.turschner@tu-clausthal.de)]",,
10.1149/ma2023-01261701mtgabs,Technische Universität Clausthal,Clausthal University of Technology,,
10.1021/acsomega.4c00723,Technische Universität Clausthal,"Institute of Applied Mechanics, Clausthal University of Technology, Arnold-Sommerfeld-Straße 6, Clausthal-Zellerfeld 38678, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Technische Mechanik
10.1016/j.ces.2021.117408,Technische Universität Clausthal,"Institute of Chemical and Electrochemical Process Engineering, Clausthal University of Technology, Leibnizstr. 17, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Mathematik/Informatik und Maschinenbau,Institut für Chemische und Elektrochemische Verfahrenstechnik
10.1016/j.cemconres.2020.106009,Technische Universität Clausthal,"Institute for Non-Metallic Materials, Technical University of Clausthal, Zehntnerstrasse 2a, 38678 Clausthal-Zellerfeld, Germany",Fakultät für Natur- und Materialwissenschaften,Institut für Nichtmetallische Werkstoffe
