id,raw_affiliation_string,in_oal_missing,in_kb_missing,validation,comment
https://openalex.org/W4210415116,"IVD GmbH, Albert-Einstein-Straße 5, 30926 Seelze-Letter, Germany",Stiftung Tierärztliche Hochschule Hannover,,FALSE,paper does not belong to Stiftung Tierärztliche Hochschule Hannover
https://openalex.org/W3151730455,"IVD Innovative Veterinary Diagnostics (IVD GmbH), Seelze, Germany",Stiftung Tierärztliche Hochschule Hannover,,FALSE,paper does not belong to Stiftung Tierärztliche Hochschule Hannover
https://openalex.org/W4292696011,Zentrum für Systemische Neurowissenschaften  Hannover Germany,Stiftung Tierärztliche Hochschule Hannover,,FALSE,paper does not belong to Stiftung Tierärztliche Hochschule Hannover
https://openalex.org/W4391515432,"Department of Obstetrics, Gynaecology and Reproductive Medicine, Hannover Medical School, Carl Neuberg Str. 1, Hannover 30625, Germany",Stiftung Tierärztliche Hochschule Hannover,,FALSE,paper does not belong to Stiftung Tierärztliche Hochschule Hannover
https://openalex.org/W3011037995,"Institute of Food Quality and Food Safety, Research Center for Emerging Infections and Zoonoses (RIZ), Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover,,TRUE,
https://openalex.org/W3163111105,"Innovative Veterinary Diagnostics (IVD GmbH), Albert-Einstein-Str. 5, 30926, Seelze, Germany",Stiftung Tierärztliche Hochschule Hannover,,FALSE,paper does not belong to Stiftung Tierärztliche Hochschule Hannover
https://openalex.org/W4210354097,"Institute for Biometry, Epidemiology and Information Processing, Veterinary Medical University Hannover, 30559 Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover,Medizinische Hochschule Hannover (MHH),TRUE,"true for OpenAlex, false for KB"
https://openalex.org/W4387894204,"Dept. of Obstetrics, Gynecology and Reproductive Medicine, Hannover Medical School, Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover,,FALSE,paper does not belong to Stiftung Tierärztliche Hochschule Hannover
https://openalex.org/W3091908380,"Research Center Emerging Infections and Zoonoses (RIZ), Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover,,TRUE,
https://openalex.org/W4221084608,"Institute for Biometry, Epidemiology and Information Processing, Veterinary Medical University Hannover, 30559 Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover,Medizinische Hochschule Hannover (MHH),TRUE,"true for OpenAlex, false for KB"
