id,raw_affiliation_string,in_oal_missing,in_kb_missing,validation ,comment
https://openalex.org/W3213700432,"Univ. of Applied Sciences Hamm-Lippstadt, Lippstadt, Germany Carl von Ossietzky University of Oldenburg, Oldenburg, Germany",Hochschule Emden/Leer,Carl von Ossietzky Universität Oldenburg,FALSE,"Affiliation in OpenAlex is not correct, in KB it is"
https://openalex.org/W3016978909,"University of Applied Sciences and Arts Hannover, Faculty 2, Department of Bioprocess Engineering, Microbiology, 30453 Hanover, Germany; Chamber of Agriculture Lower Saxony, Udder Health Service, 26121 Oldenburg, Germany",Hochschule Emden/Leer,,FALSE, 
https://openalex.org/W4212821525,"Institute for Lasers and Optics, University of Applied Sciences, Emden 26723, Germany",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W3216320888,"HS Emden/Leer, Emden, Germany",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W3212442489,"Faculty of Technology, University of Applied Sciences Emden/Leer, Germany",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W4309465689,"Emdener Str. 22, C/o Goeller, 10551Berlin, Germany",,Hochschule Emden/Leer,FALSE,
https://openalex.org/W3023041417,"University of Applied Sciences Department of Social Work, , Emden,",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W3205191921,"Faculty of Health and Social Work, University of Applied Sciences Emden/ Leer, Emden, Germany",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W4404469300,"Department of Respiratory Medicine, Emden Hospital, Bolardusstrasse 20, 26721, Emden, Germany. highflow@web.de",,Hochschule Emden/Leer,FALSE,paper does not belong to Hochschule Emden/Leer
https://openalex.org/W4309907102,"Emden/Leer University of Applied Sciences, Germany",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W4404851470,"Emden Hospital, Department of Respiratory Medicine, Bolardusstrasse 20, 26721 Emden, Germany",,Hochschule Emden/Leer,FALSE,paper does not belong to Hochschule Emden/Leer
https://openalex.org/W3088475148,"Industrial Informatics, Automation, and Robotics, University of Applied Sciences Emden/Leer, Germany",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W4309465689,"Emdener Str. 22 , C/o Goeller , Berlin , Germany",,Hochschule Emden/Leer,FALSE,paper does not belong to Hochschule Emden/Leer
https://openalex.org/W3154043449,"Institute for Industrial Informatics, Automation, and Robotics at the University of Applied Sciences Emden/Leer, Emden, Germany",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W3207631960,"HS Emden/Leer, Emden, Germany",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W4389153292,Faculty of Technology University of Applied Sciences Emden/Leer Emden Germany,,Hochschule Emden/Leer,TRUE,
https://openalex.org/W4403815562,"Social Work and Health, University of Health Sciences Emden/Leer , Emden,",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W3127235145,"HS Emden/Leer, Constantiapl. 4, 26723 Emden, Germany",,Hochschule Emden/Leer,TRUE,
https://openalex.org/W4206045972,"Hospital Emden, Bolardusstrasse 20, 26721, Emden, Germany. highflow@web.de",,Hochschule Emden/Leer,FALSE,paper does not belong to Hochschule Emden/Leer
https://openalex.org/W4282961821,"Department of Anesthesiology and Intensive Care Medicine, Hospital Emden, Emden, Germany",,Hochschule Emden/Leer,FALSE,paper does not belong to Hochschule Emden/Leer
