id,raw_affiliation_string,in_oal_missing,in_kb_missing
https://openalex.org/W3125706844,"Department of Diagnostic and Interventional Radiology, University Medical Center Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,
https://openalex.org/W4302773368,"Department of NanoBiophotonics Max Planck Institute for Multidisciplinary Sciences, Göttingen Germany and University Medical Center of Göttingen Clinic for Neurology  Göttingen Germany",Universitätsmedizin Göttingen,
https://openalex.org/W4400691577,Department of Neuroradiology University Medical Center Goettingen Germany,Universitätsmedizin Göttingen,
https://openalex.org/W4281260717,"Hematology and Medical Oncology, University Medicine Goettingen, Germany",Universitätsmedizin Göttingen,
https://openalex.org/W4391438940,"Univ Medicine Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,
https://openalex.org/W4223893596,"Department of Clinical Pharmacology,University Medical Center Goettingen,Goettingen,Germany",Universitätsmedizin Göttingen,
https://openalex.org/W4306969778,"Department of Cardiology, University Medical Center Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,
https://openalex.org/W4391003458,"MR-Research in Neurosciences, Department of Cognitive Neurology, University Medical Center Goettingen, Germany",Universitätsmedizin Göttingen,
https://openalex.org/W4313397247,"Universitätsmedizin Göttingen, Cellular Biophysics and Translational Cardiology, Heart Research Center Göttingen, Department of Cardiology & Pneumology, Goettingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4221030674,"Heart Center, University Medical Center, Göttingen, Germany (G.H.)",,Universitätsmedizin Göttingen
https://openalex.org/W4313396948,"Cellular Biophysics and Translational Cardiology Section, Heart Research Center Göttingen, Department of Cardiology & Pneumology, Georg-August University Göttingen, Goettingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3184055404,"Klinik für Anästhesiologie, Universitätsmedizin Göttingen, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4206444195,"Klinik für Psychiatrie und Psychotherapie, Universitätsmedizin Göttingen, Göttingen",,Universitätsmedizin Göttingen
https://openalex.org/W3094326514,"Asklepios Center for Psychiatry and Psychotherapy Göttingen, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4402635489,"Department of Neurosurgery, University Medical Center, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3165329146,"Göttingen, Paediatrics, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4210852070,"Institute for Auditory Neuroscience and InnerEarLab, University Medical Center Göttingen",,Universitätsmedizin Göttingen
https://openalex.org/W4389243408,"17Department of Haematology and Oncology, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3047479465,"Medizinischen Klinik II – Innere Medizin, Gastroenterologie, Hepatologie, Stoffwechselerkrankungen und Infektionen, Klinikum Wilhelmshaven, Lehrkrankenhaus Georg August Universität Göttingen",,Universitätsmedizin Göttingen
https://openalex.org/W4205429197,"Institute for Auditory Neuroscience, University Medical Center Goettingen, Göttingen D-37075, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3036291026,"Klinik f. Dermatologie, Venerologie u. Allergologie, Robert-Koch-Str. 40, 37075 Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3207615849,"Department of Cellular Biochemistry, Georg-August University, Göttingen, Germany (P.R., J.D.)",,Universitätsmedizin Göttingen
https://openalex.org/W3087197132,Cluster of Excellence “Multiscale Bioimaging: from Molecular Machines to Networks of Excitable Cells” (MBExC) University of Göttingen Göttingen Germany,,Universitätsmedizin Göttingen
https://openalex.org/W3095064898,"Klinik f. Dermatologie, Venerologie u. Allergologie, Robert-Koch-Str. 40, 37075 Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4313396948,"University Medical Center Göttingen, Bioanalytics, Department of Clinical Chemistry, Goettingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4213252942,"Optical Nanoscopy in Neuroscience, Center for Nanoscale Microscopy and Molecular Physiology of the Brain, University Medical Center Göttingen",,Universitätsmedizin Göttingen
https://openalex.org/W4399477338,"Universitätsmedizin Göttingen, Klinik für Pädiatrische Kardiologie, Intensivmedizin
               und Neonatologie",,Universitätsmedizin Göttingen
https://openalex.org/W3043675015,Department of Medical Statistics University Medical Center Göttingen Göttingen Germany,,Universitätsmedizin Göttingen
https://openalex.org/W3214147276,"Department of Neurosurgery, University of Goettingen Medical Center, Goettingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3047479465,"Klinik für Frauenheilkunde und Geburtshilfe, Klinikum Wilhelmshaven, Lehrkrankenhaus der Georg August Universität Göttingen",,Universitätsmedizin Göttingen
https://openalex.org/W3019949596,"Klinik f. Dermatologie, Venerologie u. Allergologie, Robert-Koch-Str. 40, 37075 Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3015039872,Department of Medical Statistics University Medical Center Göttingen  Göttingen Germany,,Universitätsmedizin Göttingen
https://openalex.org/W3095781242,"Klinik f. Dermatologie, Venerologie u. Allergologie, Robert-Koch-Str. 40, 37075 Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4402389411,"Universitätsklinikum Göttingen, Klinik für Allgemein-, Viszeral- und Kinderchirurgie, Göttingen",,Universitätsmedizin Göttingen
https://openalex.org/W4210388978,"Department of Anesthesiology, University Medical Center Göttingen, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3188116785,"Department of Nephrology and Rheumatology, University Medical Center Göttingen, Göttingen, Germany [email protected]",,Universitätsmedizin Göttingen
https://openalex.org/W4313397192,"University Medical Center Goettingen, Institute of Pharmacology & Toxicology, Goettingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4405705140,"Department for Prosthetic Dentistry and Materials, University Medical Centre, Augustusplatz 2, 55131, Mainz, Germany. georgi.kostadinoff98@gmail.com",,Universitätsmedizin Göttingen
https://openalex.org/W4381330753,"Klinik für Anästhesiologie, Universitätsmedizin Göttingen, Robert-Koch-Str. 40, 37085, Göttingen, Deutschland. Joachim.erlenwein@med.uni-goettingen.de",,Universitätsmedizin Göttingen
https://openalex.org/W4200056961,"Department of Neurosurgery, Georg-August-University, Goettingen, Germany;",,Universitätsmedizin Göttingen
https://openalex.org/W3200369584,"Klinik für Anästhesiologie, Universitätsmedizin Göttingen, Göttingen, Deutschland",,Universitätsmedizin Göttingen
https://openalex.org/W4205385077,"Department of Nephrology and Rheumatology, University Medical Center Göttingen, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3000147045,Institut für Medizinische Statistik Universitätsmedizin Göttingen  Göttingen Germany,,Universitätsmedizin Göttingen
https://openalex.org/W4206349299,"Institute of Molecular Oncology, University Medical Center Gottingen, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3138590507,"Klinik für Kinder- und Jugendpsychiatrie/Psychotherapie, Universitätsmedizin Göttingen, Göttingen",,Universitätsmedizin Göttingen
https://openalex.org/W3130058461,"Klinik für Hämatologie und Medizinische Onkologie, Universitätsmedizin Göttingen, Göttingen, Deutschland",,Universitätsmedizin Göttingen
https://openalex.org/W3210431096,Institute for Clinical Pharmacology University Medical Center GöttingenGeorg‐August University Göttingen Germany,,Universitätsmedizin Göttingen
https://openalex.org/W4401921082,"2Charité – Universitätsmedizin, Berlin, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3091089440,"Cluster of Excellence ‘Multiscale Bioimaging: from Molecular Machines to Networks of Excitable Cells’ (MBExC), University of Göttingen, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4387625055,"Department of Dermatology, Venereology and Allergology, University Medical Center Göttingen, Göttingen",,Universitätsmedizin Göttingen
https://openalex.org/W4224234228,"Department of Gastroenterology, Gastrointestinal Oncology and Endocrinology, University of Göttingen, Göttingen, Niedersachsen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4206349299,"Department of General, Visceral, and Pediatric Surgery, University Medical Center Gottingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4313397192,"University Medical Center Goettingen, Institute of Human Genetics, Goettingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3111701656,"6Charité-Universitätsmedizin, Clinical Endocrinology CCM, Berlin, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W4205341403,"Department of Anesthesiology, Emergency and Intensive Care Medicine, University of Göttingen, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3048873301,Institute for Diagnostic and Interventional Radiology University Medical Center Göttingen Göttingen Germany,,Universitätsmedizin Göttingen
https://openalex.org/W4296149638,"Private University of Applied Sciences, Medical Orthobionics, Göttingen, Germany",,Universitätsmedizin Göttingen
https://openalex.org/W3210400114,"Departamento de Ciruga Torcica y Cardiovascular. Universittsmedizin Gttingen. Gottingen, Alemania",,Universitätsmedizin Göttingen
