doi,parent_name,raw_affiliation_string,fak_name,dept_name,validation,status
10.1109/tvcg.2020.3030376,Ostfalia Hochschule für angewandte Wissenschaften,Ostfalia University of Applied Sciences,,,True,no faculty named
10.1186/s40001-022-00727-7,Ostfalia Hochschule für angewandte Wissenschaften,"Department of Computer Science, Ostfalia University of Applied Sciences, Wolfenbuettel, Germany",Fakultät Informatik,,True,
10.3389/fbuil.2021.649903,Ostfalia Hochschule für angewandte Wissenschaften,"Trier University of Applied Science Birkenfeld, Institute for Transformation Design HBK Braunschweig, Trier, Germany",,,False,HBK
10.1002/vipr.202000745,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia Hochschule für angewandte Wissenschaften – Hochschule Braunschweig/Wolfenbüttel, Fakultät Versorgungstechnik, Labor für Modellierung und Simulation  Salzdahlumer Straße 46/48 38302 Wolfenbüttel",Fakultät Versorgungstechnik,,True,Dept not in GERiT
10.1016/j.cities.2024.105171,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University of Applied Sciences, Germany",,,True,no faculty named
10.1016/j.jacc.2021.08.056,Ostfalia Hochschule für angewandte Wissenschaften,"Biostatistics, Helmholtz Center for Infection Research, Braunschweig, Germany; Institute for Information Engineering, Ostfalia University of Applied Sciences, Wolfenbuttel, Germany",Fakultät Informatik,Institut für Information Engineering (IIE),True,
10.1515/pjbr-2021-0032,Ostfalia Hochschule für angewandte Wissenschaften,"Department of Computer Science, Ostfalia University of Applied Sciences, Institute of Distributed Systems , Wolfenbüttel , Germany",Fakultät Informatik,Institut für Verteilte Systeme (IVS),True,
10.3390/en17143481,Ostfalia Hochschule für angewandte Wissenschaften,"Faculty of Supply Engineering, Ostfalia University of Applied Sciences, 38302 Wolfenbüttel, Germany",Fakultät Versorgungstechnik,,True,
10.3390/mps7010006,Ostfalia Hochschule für angewandte Wissenschaften,"Faculty of Civil and Environmental Engineering, Ostfalia University of Applied Sciences, Herbert-Meyer-Str. 7, 29556 Suderburg, Germany",Fakultät Bau-Wasser-Boden,,True,
10.1007/s10273-021-3052-9,Ostfalia Hochschule für angewandte Wissenschaften,"Entrepreneurship Hub, Ostfalia Hochschule, Am Exer 2d, 38302, Wolfenbüttel, Deutschland",,,?,no gerit id for this
10.1093/eurpub/ckae144.2108,Ostfalia Hochschule für angewandte Wissenschaften,"Faculty of Health Care, Ostfalia University of Applied Sciences , Berlin,",Fakultät Gesundheitswesen,,True,
10.1080/00324728.2024.2376060,Ostfalia Hochschule für angewandte Wissenschaften,IU International University of Applied Sciences (Campus Braunschweig),,,False,wrong inst
10.1057/s41310-021-00111-7,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University of Applied Sciences, Wolfenbüttel, Germany",,,True,no faculty named
10.4018/ijitsa.347913,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University of Applied Sciences, Germany",,,True,no faculty named
10.3390/stats7040075,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Information Engineering, Ostfalia University, 38302 Braunschweig, Germany",Fakultät Informatik,Institut für Information Engineering (IIE),True,
10.1016/j.procir.2024.03.028,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University of Applied Sciences, Salzdahlumer Straße 46/48, 38302 Wolfenbüttel, Germany",,,True,no faculty named
10.1186/s12879-022-07347-w,Ostfalia Hochschule für angewandte Wissenschaften,"Department of Computer Science, Ostfalia University of Applied Sciences, Wolfenbuettel, Germany",Fakultät Informatik,,True,
10.1016/j.egyr.2021.08.076,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Information Engineering, Ostfalia University of Applied Sciences, Salzdahlumer Str. 46/48, 38302 Wolfenbüttel, Germany",Fakultät Informatik,Institut für Information Engineering (IIE),True,
10.1159/000524894,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Information Engineering, Ostfalia University of Applied Sciences, Wolfenbüttel, Germany",Fakultät Informatik,Institut für Information Engineering (IIE),True,
10.1002/cite.201900107,Ostfalia Hochschule für angewandte Wissenschaften,Ostfalia University of Applied Sciences Institute for Production Technologies  Salzdahlumer Straße 46/48 38302 Wolfenbüttel Germany,Fakultät Maschinenbau,Institut für Produktionstechnik,True,
10.47260/jfia/1022,Ostfalia Hochschule für angewandte Wissenschaften,"Professor of Banking and Asset Management, Ostfalia University of Applied Sciences, Faculty of Business, Wolfsburg, Germany",Fakultät Wirtschaft,,True,
10.1016/j.omto.2020.08.005,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Information Engineering, Ostfalia University, 38302 Wolfenbuettel, Germany",Fakultät Informatik,Institut für Information Engineering (IIE),True,
10.1002/ird.2451,Ostfalia Hochschule für angewandte Wissenschaften,Faculty of Civil and Environmental Engineering Ostfalia University of Applied Sciences  Suderburg Germany,Fakultät Bau-Wasser-Boden,,True,
10.1016/j.jenvman.2024.121945,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University of Applied Sciences, Faculty of Civil and Environmental Engineering, Campus Suderburg, Germany. Electronic address: h.burmeier@ostfalia.de",Fakultät Bau-Wasser-Boden,,True,
10.1099/mgen.0.000410,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Information Engineering, Ostfalia University, Wolfenbüttel, Germany",Fakultät Informatik,Institut für Information Engineering (IIE),True,
10.1007/s41906-022-1246-4,Ostfalia Hochschule für angewandte Wissenschaften,"Fakultät Gesundheitswesen, Ostfalia Hochschule für angewandte Wissenschaften - Hochschule Braunschweig/Wolfenbüttel, Rothenfelder Straße 10, 38440 Wolfsburg, Deutschland",Fakultät Gesundheitswesen,,True,
10.1080/09602011.2024.2384518,Ostfalia Hochschule für angewandte Wissenschaften,"Faculty of Computer Science, Ostfalia University of Applied Science, Wolfenbüttel, Germany",Fakultät Informatik,,True,
10.1515/pwp-2021-0044,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia Hochschule für angewandte Wissenschaften , Siegfried-Ehlers-Straße 1 , Wolfsburg Germany",,,True,no faculty named
10.3390/a17040143,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Information Engineering, Ostfalia University, 38302 Braunschweig, Germany",Fakultät Informatik,Institut für Information Engineering (IIE),True,
10.1016/j.procir.2021.01.110,Ostfalia Hochschule für angewandte Wissenschaften,"Institute of Production Technology, Ostfalia University of Applied Sciences, Salzdahlumer Straße 46/48, 38302 Wolfenbüttel, Germany",Fakultät Maschinenbau,Institut für Produktionstechnik,True,
10.1016/j.procir.2022.05.297,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University of applied sciences, Salzdahlumer Straße 46/48, 38302 Wolfenbüttel, Germany",,,True,no faculty named
10.1016/j.resplu.2023.100508,Ostfalia Hochschule für angewandte Wissenschaften,"Faculty of Health and Health Care Sciences, Ostfalia University of Applied Sciences, Wolfsburg, Germany",Fakultät Gesundheitswesen,,True,
10.1080/14241277.2024.2386655,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University of Applied Sciences, Germany",,,True,no faculty named
10.1007/s11213-022-09610-2,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University of Applied Sciences, Herbert-Meyer-Straße 7, 29556, Suderburg, Germany",,,True,no faculty named
10.1007/s35148-020-0221-x,Ostfalia Hochschule für angewandte Wissenschaften,"Ost­falia-Hochschule, Wolfenbüttel, Germany",,,True,no faculty named
10.1007/s00350-023-6601-y,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia Hochschule für angewandte Wissenschaften, Robert-Koch-Platz 8a, 38440, Wolfsburg, Deutschland",,,True,no faculty named
10.1080/17489725.2020.1868587,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Media Management, Ostfalia University of Applied Sciences, Wolfenbüttel, Germany",Fakultät Verkehr-Sport-Tourismus-Medien,Institut für Medienmanagement,True,
10.1186/s13023-020-01542-1,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Information Engineering, Ostfalia University of Applied Sciences, Wolfenbüttel, Germany",Fakultät Informatik,Institut für Information Engineering (IIE),True,
10.1007/s00350-022-6355-y,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia Hochschule für angewandte Wissenschaften, Rothenfelder Straße 10, 38440, Wolfsburg, Deutschland",,,True,no faculty named
10.3390/toxins13080585,Ostfalia Hochschule für angewandte Wissenschaften,"Department of Computer Science, Ostfalia University, 38302 Wolfenbüttel, Germany",Fakultät Informatik,,True,
10.1002/brb3.3285,Ostfalia Hochschule für angewandte Wissenschaften,Faculty of Social Work Ostfalia University of Applied Sciences  Wolfenbüttel Germany,Fakultät Soziale Arbeit,,True,
10.1007/s00391-020-01749-8,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia Hochschule für angewandte Wissenschaften, Wolfenbüttel, Deutschland",,,True,no faculty named
10.4271/09-10-01-0001,Ostfalia Hochschule für angewandte Wissenschaften,Ostfalia University of Applied Sciences Germany,,,True,no faculty named
10.1007/s00103-023-03688-2,Ostfalia Hochschule für angewandte Wissenschaften,"Fakultät Gesundheitswesen, Ostfalia Hochschule für angewandte Wissenschaften, Poststr. 19, 38440, Wolfsburg, Deutschland",Fakultät Gesundheitswesen,,True,
10.1007/s00350-023-6532-7,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia Hochschule für angewandte Wissenschaften, Robert-Koch-Platz 8a, 38440, Wolfsburg, Deutschland",,,True,no faculty named
10.1080/02615479.2021.1893684,Ostfalia Hochschule für angewandte Wissenschaften,"Department of Trade and Social Work, Ostfalia University of Applied Sciences, Suderburg, Germany",Fakultät Handel und Soziale Arbeit,,True,
10.1016/j.procs.2020.09.017,Ostfalia Hochschule für angewandte Wissenschaften,"Zentrum für erfolgreiches Lehren und Lernen, Ostfalia University, Wolfenbüttel, Germany",,,?,Zentrum für erfolgreiches Lehren und Lernen
10.1186/s12887-024-04952-3,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University, Wolfenbüttel, Germany",,,True,no faculty named
10.1515/labmed-2020-0005,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University , Wolfenbüttel , Germany",,,True,no faculty named
10.1080/08276331.2020.1836463,Ostfalia Hochschule für angewandte Wissenschaften,"Institute of Tourism and Regional Research, Karl Scharfenberg Faculty of Transport-Sports-Tourism-Media, Ostfalia University of Applied Sciences, Salzgitter, Germany",Fakultät Verkehr-Sport-Tourismus-Medien,,True,
10.1504/ijpec.2023.135479,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Biotechnology and Environmental Research and Institute for Energy Optimised Systems, Laboratory for Modelling and Simulation, Faculty of Supply Engineering, Ostfalia University of Applied Sciences, Wolfenbüttel, Germany",Fakultät Versorgungstechnik,Institut für Biotechnologie und Umweltforschung (IBU),True,
10.1515/math-2020-0005,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia Hochschule für angewandte Wissenschaften, Fakultät für Informatik , Wolfenbüttel , Germany",Fakultät Informatik,,True,
10.1007/s00350-021-6006-8,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia Hochschule für angewandte Wissenschaften, Wolfsburg, Deutschland",,,True,no faculty named
10.1515/math-2020-0167,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia Hochschule für angewandte Wissenschaften, Fakultät für Informatik , Wolfenbüttel , Germany",Fakultät Informatik,,True,
10.3233/tub-230021,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University, Department of Computer Science, Wolfenbüttel, Germany",Fakultät Informatik,,True,
10.3389/fimmu.2023.1103695,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for Information Engineering, Ostfalia University, Wolfenbuettel, Germany",Fakultät Informatik,Institut für Information Engineering (IIE),True,
10.1007/s11612-024-00733-9,Ostfalia Hochschule für angewandte Wissenschaften,"Institute für Production Technology, Ostfalia University of Applied Sciences, Wolfenbüttel, Germany",Fakultät Maschinenbau,Institut für Produktionstechnik,True,
10.3390/businesses2040029,Ostfalia Hochschule für angewandte Wissenschaften,"Faculty of Business, Ostfalia University of Applied Sciences, Siegfried-Ehlers-Str. 1, D-38440 Wolfsburg, Germany",Fakultät Wirtschaft,,True,
10.1055/a-2036-3853,Ostfalia Hochschule für angewandte Wissenschaften,"Fakultät Gesundheitswesen, Ostfalia Hochschule für angewandte Wissenschaften, Campus, Wolfsburg, Deutschland",Fakultät Gesundheitswesen,,True,
10.1123/ijsc.2020-0007,Ostfalia Hochschule für angewandte Wissenschaften,2Ostfalia University of Applied Sciences,,,True,no faculty named
10.1024/1861-6186/a000622,Ostfalia Hochschule für angewandte Wissenschaften,"Uta Weidlich-Wichmann, M.A. Strategisches                   Management (Gesundheitswirtschaft), Wissenschaftliche Mitarbeiterin Ostfalia                   Hochschule, Fakultät Gesundheitswesen, Campus                   Wolfsburgu.weidlich-wichmann@ostfalia.de",Fakultät Gesundheitswesen,,True,
10.1017/pds.2021.492,Ostfalia Hochschule für angewandte Wissenschaften,Ostfalia University of Applied Sciences,,,True,no faculty named
10.1055/s-0044-1778962,Ostfalia Hochschule für angewandte Wissenschaften,"Department of Computer Science, Ostfalia University, 38302 Wolfenbüttel",Fakultät Informatik,,True,
10.1080/17483107.2022.2080290,Ostfalia Hochschule für angewandte Wissenschaften,"Faculty of Social Work, Ostfalia University of Applied Sciences, Wolfenbüttel, Germany",Fakultät Soziale Arbeit,,True,
10.3390/en13246485,Ostfalia Hochschule für angewandte Wissenschaften,"Institute of Electrical Systems and Automation Technology (IfEA), Ostfalia University of Applied Sciences, 38302 Wolfenbüttel, Germany",Fakultät Elektro- und Informationstechnik,Institut für Elektrische Anlagen und Automatisierungstechnik (IfEA),True,
10.35844/001c.35634,Ostfalia Hochschule für angewandte Wissenschaften,Ostfalia University of Applied Sciences,,,True,no faculty named
10.1002/eji.202250291,Ostfalia Hochschule für angewandte Wissenschaften,Department of Computer Science Ostfalia University Wolfenbüttel Germany,Fakultät Informatik,,True,
10.1515/zna-2021-0147,Ostfalia Hochschule für angewandte Wissenschaften,"HPCC-Space, Bendestorf and Ostfalia Univ. of Applied Sciences , Suderburg 21227 , Germany",,,True,no faculty named
10.1016/j.procir.2020.02.216,Ostfalia Hochschule für angewandte Wissenschaften,"Ostfalia University of Applied Science, Wolfenbüttel, Germany",,,True,no faculty named
10.1016/j.procir.2024.08.313,Ostfalia Hochschule für angewandte Wissenschaften,"Institute for design and applied mechanical engineering, Ostfalia University of Applied Science, Salzdahlumer Straße 46-48, Wolfenbüttel, 38302, Germany",Fakultät Maschinenbau,Institut für Konstruktion und Angewandten Maschinenbau,True,
