doi,parent_name,raw_affiliation_string,fak_name,dept_name
10.1186/s12913-023-09639-6,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Community Medicine, University Medicine, Greifswald, Germany. maren.leiz@jade-hs.de",,
10.1051/matecconf/202439618001,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade Hochschule Oldenburg, Ofener Straße 16/19, 26121 Oldenburg, Germany",,
10.1007/s11240-023-02528-0,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Laboratory for Biosystems Engineering, Faculty of Agricultural Sciences and Landscape Architecture, Osnabrück University of Applied Sciences, Oldenburger Landstraße 24, 49090, Osnabrück, Germany",Fachbereich Architektur,
10.1016/j.ifset.2023.103333,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"University of Applied Science Osnabrück, Department of Agricultural Science and Landscape Architecture, Oldenburger Landstr. 62, 49090 Osnabrück, Germany",Fachbereich Architektur,
10.3390/bdcc7030145,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Applied Photogrammetry and Geoinformatics (IAPG), Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth, Ofener Str. 16/19, 26121 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1080/10919392.2023.2276631,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Maritime and Logistics, Jade University of Applied Sciences, Elsfleth, Germany",Fachbereich Seefahrt und Logistik,
10.1055/s-0042-1753755,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,
                    Abteilung Technik und Gesundheit für Menschen, Oldenburg,
                    Deutschland","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",
10.1186/s13007-023-01018-w,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Laboratory for Biosystems Engineering, Faculty of Agricultural Sciences and Landscape Architecture, Osnabrück University of Applied Sciences, Oldenburger Landstraße 24, 49090, Osnabrück, Germany. bethge@baum.uni-hannover.de",Fachbereich Architektur,
10.3390/s24041256,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Engineering, Jade University of Applied Sciences, 26389 Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.1016/j.forsciint.2024.112005,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Applied Photogrammetry and Geoinformatics, Jade University of Applied Science, Ofener Straße 16/19, Oldenburg D-26121, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.3390/act12060235,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Engineering, Research Group Modelling and Simulation of Mechatronic Systems, Jade University of Applied Sciences, Friedrich-Paffrath-Str. 101, 26389 Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.1177/23312165241276435,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute of Hearing Technology and Audiology, Jade University of Applied Sciences, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.2961/jlmn.2020.01.2004,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Institut fr Energie-und Verfahrenstechnik, Friedrich-Paffrath-Strae 101, 26389 Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.1002/bimj.202000203,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,Jade University of Applied Sciences Institute for Hearing Technology and Audiology  Oldenburg Germany,"Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.1007/s40516-020-00111-5,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade Hochschule, Friedrich-Paffrath-Straße 101, 26389, Wilhelmshaven, Germany",,
10.1055/s-0042-1753861,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade Hochschule Oldenburg, Abteilung Technik und Gesundheit für
                    Menschen, Bremen, Deutschland","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",
10.2166/wst.2024.406,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Civil Engineering, Geoinformation and Health Technology, Jade University of Applied Sciences, Ofener Str. 16/19, Oldenburg 26121, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",
10.14311/app.2022.38.0302,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Department of Maritime and Logistics Studies Elsfleth, Weserstraße 52, 26931 Elsfleth, Germany",Fachbereich Seefahrt und Logistik,
10.1515/zsr-2023-0002,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,Jade Hochschule Ofener Str. 16/19 Oldenburg Deutschland,,
10.1097/aud.0000000000000934,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute of Hearing Technology and Audiology, Jade University of Applied Sciences, and Cluster of Excellence Hearing4All, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.4017/gt.2022.21.s.542.5.sp3,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"ResearchFonds of the University of Applied Sciences Oldenburg, Wilhelmshaven, Elsfleth",,
10.1007/s41449-022-00307-9,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Abteilung Technik und Gesundheit für Menschen, Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Oldenburg, Deutschland","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",
10.5194/isprs-archives-xliii-b2-2020-999-2020,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Applied Photogrammetry and Geoinformatics, Jade University of Applied Sciences, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1121/10.0019378,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institut für Audiologie und Hörtechnik 2 , Jade-Hochschule, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.1097/aud.0000000000000944,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute of Hearing Technology and Audiology, Jade University of Applied Sciences, and Cluster of Excellence “Hearing4all”, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.38027/mediterranean-cities_vol4no1_3,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Architecture, Jade University of Applied Sciences, Oldenburg, Germany",Fachbereich Architektur,
10.1002/bimj.202000203,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Institute for Hearing Technology and Audiology, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.5194/isprs-archives-xlviii-2-2024-355-2024,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Applied Photogrammetry and Geoinformatics, Jade University of Applied Sciences, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.7250/conect.2024.074,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Friedrich-Paffrath-Straße 101, 26389 Wilhelmshaven, Germany",,
10.1007/s10341-023-00873-0,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Faculty of Agricultural Sciences and Landscape Architecture, Hochschule Osnabrück—University of Applied Sciences, Oldenburger Landstraße 24, 49090, Osnabrück, Germany",Fachbereich Architektur,
10.1016/j.scs.2020.102066,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Oldenburg, Germany",,
10.1016/j.ejrh.2023.101578,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Research and Transfer, Ofener Straße 16/19, 26121 Oldenburg, Germany",,
10.5194/isprs-archives-xlvi-m-1-2021-647-2021,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Institute of Applied Photogrammetry and Geoinformatics (IAPG), Ofener Str.16/19, 26121 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1080/14992027.2024.2401519,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute of Hearing Technology and Audiology, Jade University of Applied Sciences","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.1051/aacus/2022035,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Institute of Hearing Technology and Audiology, and Cluster of Excellence ""Hearing4all"", 26121 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.1038/s41598-024-53026-y,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute of Hearing Technology and Audiology, Jade University of Applied Sciences, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.1016/j.enbuild.2021.111597,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Friedrich-Paffrath-Straße 101, 26389 Wilhelmshaven, Germany",,
10.3390/s20061620,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Assistive Technologies, Jade University of Applied Science, 26389 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Technische Assistenzsysteme (ITAS)
10.1515/cdbme-2023-1072,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Friedrich-Paffrath-Straße 101, 26389 Wilhelmshaven , Germany",,
10.5194/isprs-archives-xliii-b2-2020-791-2020,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Institute of Applied Photogrammetry and Geoinformatics (IAPG), Ofener Str. 16/19, 26121 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1080/10095020.2020.1831891,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Applied Sciences and Geoinformatics, Jade University of Applied Sciences Oldenburg, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",
10.1007/s44174-022-00055-8,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Friedrich-Paffrath-Strae 101, 26389 Wilhelmshaven, Germany",,
10.3390/rs15225344,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute for Applied Photogrammetry and Geoinformatics, Jade University Oldenburg, Ofener Str. 16/19, 26121 Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.52783/jes.2481,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, German, [",,
10.1007/s41064-021-00175-8,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute of Applied Photogrammetry and Geoinformatics (IAPG), Jade University of Applied Sciences, Ofener Str. 16/19, 26121, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.1007/s11616-020-00576-6,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade-Hochschule Wilhelmshaven, Wilhelmshaven, Deutschland",,
10.18409/ispiv.v1i1.195,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Institute of Applied Photogrammetry and Geoinformatics (IAPG), Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",IAPG Institut für Angewandte Photogrammetrie und Geoinformatik (Standort Oldenburg)
10.3390/app122412844,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Department of Engineering Sciences, University of Applied Sciences Jade, 26389 Wilhelmshaven, Germany",Fachbereich Ingenieurwissenschaften,
10.1016/j.ifacol.2022.09.098,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Jade University of Applied Sciences, Wilhelmshaven, 26389 Germany",,
10.1080/14992027.2024.2401519,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute of Hearing Technology and Audiology, Jade University of Applied Sciences, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
10.1371/journal.pone.0231632,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,"Institute of Hearing Technology and Audiology, Jade University of Applied Sciences and Cluster of Excellence “Hearing4all”, Oldenburg, Germany","Fachbereich Bauwesen, Geoinformation, Gesundheitstechnologie",Institut für Hörtechnik und Audiologie
